         1372 function calls in 3.767 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    3.663    1.831 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:512(run)
        2    0.000    0.000    3.654    1.827 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:1175(communicate)
        2    0.001    0.001    3.653    1.827 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:2069(_communicate)
       14    0.000    0.000    3.651    0.261 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/selectors.py:385(select)
       14    3.651    0.261    3.651    0.261 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    0.102    0.102 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/__init__.py:679(get_cpu_percent)
        1    0.100    0.100    0.100    0.100 {built-in method time.sleep}
        2    0.001    0.001    0.009    0.005 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:814(__init__)
        2    0.001    0.001    0.007    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:1802(_execute_child)
       50    0.000    0.000    0.002    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:1891(<genexpr>)
       49    0.001    0.000    0.002    0.000 <frozen posixpath>:71(join)
        9    0.001    0.000    0.001    0.000 {built-in method _io.open}
        2    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        3    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/_pslinux.py:460(wrapper)
        2    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/__init__.py:1169(cpu_times)
        2    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/_pslinux.py:270(get_system_cpu_times)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_abc.py:222(with_suffix)
        2    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:329(parent)
        2    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:1292(_close_pipe_fds)
        2    0.000    0.000    0.001    0.000 <frozen os>:656(get_exec_path)
       21    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/_pslinux.py:576(get_cpu_times)
        2    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:257(_parse_path)
        6    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:498(__init__)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_abc.py:194(stem)
       50    0.000    0.000    0.001    0.000 <frozen os>:843(fsencode)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:346(name)
        5    0.000    0.000    0.000    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:307(_tail)
        2    0.000    0.000    0.000    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/subprocess.py:1698(_get_handles)
        6    0.000    0.000    0.000    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:117(__init__)
        4    0.000    0.000    0.000    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:289(drive)
        5    0.000    0.000    0.000    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_abc.py:130(with_segments)
       48    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/pathlib/_local.py:245(_from_parsed_parts)
       18    0.000    0.000    0.000    0.000 {built-in method posix.read}
